Life expectancy ,Adult Mortality,infant deaths,Status
89,66,2,0
79.9,72,2,0
80,72,2,0
79.8,75,2,0
79.4,77,3,0
83.7,55,2,0
83.5,57,2,0
83.5,56,2,0
83.3,58,2,0
82.5,64,3,0
83,62,3,0
83,64,3,0
82.7,66,3,0
82.6,67,3,0
82.4,68,3,0
82,69,3,0
82.1,68,3,0
81.9,7,3,0
81.8,7,3,0
81.5,72,4,0
81.1,74,4,0
74.6,153,0,0
74.4,156,0,0
74.1,161,0,0
73.8,163,0,0
73.6,169,0,0
72.8,18,0,0
72.6,184,0,0
71.9,199,0,0
78,221,0,0
75,229,0,0
76,216,0,0
71,26,0,0
78,29,0,0
73,219,0,0
69.9,228,0,0
71,218,0,0
73.6,165,0,0
73.4,169,0,0
73,178,0,0
73,176,0,0
72.8,18,0,0
72.4,188,0,0
72.2,192,0,0
71.1,224,0,0
72,24,0,0
76,229,0,0
78,222,0,0
71.6,24,0,0
71.6,22,0,0
71.4,22,0,0
71.2,21,0,0
71.6,2,0,0
82,63,0,0
81.7,65,0,0
81.4,68,0,0
81.1,7,0,0
88,72,0,0
86,73,0,0
83,76,0,0
80,8,0,0
79.7,82,0,0
79.4,85,0,0
78.8,9,0,0
78.7,92,0,0
78.6,92,0,0
78.3,95,0,0
78,96,0,0
77.8,98,0,0
81.7,54,0,0
81.4,55,0,0
81.1,57,0,0
81,58,0,0
87,59,0,0
83,62,0,0
82,63,0,0
80,64,0,0
79.6,65,0,0
79.3,66,0,0
79,67,0,0
78.7,69,0,0
78.5,71,0,0
78.2,75,0,0
77.8,79,0,0
77.5,8,0,0
81.9,57,1,0
81.7,58,1,0
81.4,6,1,0
81.1,62,1,0
81.1,63,1,0
88,64,1,0
86,65,1,0
83,68,1,0
82,68,1,0
79.8,71,1,0
79.4,72,1,0
79.2,77,1,0
78.7,8,1,0
78.4,81,1,0
78.3,82,1,0
78.1,84,1,0
81.6,66,0,0
81.5,67,0,0
81.3,69,0,0
81.1,7,0,0
86,72,0,0
89,71,0,0
85,73,0,0
65,263,62,1
59.9,271,64,1
59.9,268,66,1
59.5,272,69,1
59.2,275,71,1
58.8,279,74,1
58.6,281,77,1
58.1,287,80,1
57.5,295,82,1
57.3,295,84,1
57.3,291,85,1
57,293,87,1
56.7,295,87,1
56.2,3,88,1
55.3,316,88,1
54.8,321,88,1
77.8,74,0,1
77.5,8,0,1
77.2,84,0,1
76.9,86,0,1
76.6,88,0,1
76.2,91,1,1
76.1,91,1,1
75.3,1,1,1
75.9,9,1,1
74.2,99,1,1
73.5,15,1,1
73,17,1,1
72.8,18,1,1
73.3,15,1,1
73.6,14,1,1
72.6,11,1,1
75.6,19,21,1
75.4,11,21,1
75.3,112,21,1
75.1,113,21,1
74.9,116,21,1
74.7,119,21,1
74.4,123,20,1
74.1,126,20,1
73.8,129,20,1
73.4,132,20,1
72.9,136,19,1
72.3,14,19,1
71.7,146,20,1
71.6,145,20,1
71.4,145,20,1
71.3,145,21,1
52.4,335,66,1
51.7,348,67,1
51.1,355,69,1
56,358,72,1
51,361,75,1
49.6,365,78,1
49.1,369,81,1
48.7,371,84,1
48.2,375,87,1
47.7,381,90,1
47.4,382,92,1
47.1,386,94,1
46.8,388,95,1
46.5,391,96,1
45.7,44,97,1
45.3,48,97,1
76.4,13,0,1
76.2,131,0,1
76.1,133,0,1
75.9,134,0,1
75.7,136,0,1
75.6,138,0,1
75.4,14,0,1
75.2,142,0,1
75,144,0,1
74.8,145,0,1
74.6,147,0,1
74.4,149,0,1
74.2,151,0,1
74,153,0,1
73.8,154,0,1
73.6,156,0,1
76.3,116,8,1
76.2,118,8,1
76,119,8,1
75.9,12,9,1
75.7,12,9,1
75.5,121,10,1
75.6,126,10,1
75.4,126,10,1
74.8,129,10,1
75.2,127,11,1
74.9,127,11,1
74.7,13,11,1
74.1,137,11,1
74.1,138,12,1
74,138,12,1
74.1,137,12,1
74.8,118,1,1
74.6,12,1,1
74.4,123,1,1
74.4,121,1,1
73.9,128,1,1
73.5,132,1,1
73.3,137,1,1
73.2,14,1,1
73.5,132,1,1
72.9,141,1,1
73,137,1,1
73,132,1,1
72.7,134,1,1
72.6,134,1,1
72.6,141,1,1
72,142,1,1
72.7,118,5,1
72.5,119,5,1
72.2,121,5,1
71.9,123,5,1
71.6,125,5,1
71.1,13,5,1
78,132,6,1
73,141,6,1
73,14,6,1
69.2,154,6,1
68.4,162,6,1
68.4,154,6,1
67.8,154,7,1
67.8,146,7,1
67.5,151,8,1
66.6,16,9,1
76.1,147,0,1
75.4,16,0,1
74.8,172,0,1
74.9,167,0,1
75,162,0,1
75,161,0,1
74.6,168,0,1
74.5,167,0,1
74.4,167,0,1
74.2,171,0,1
74.1,172,0,1
73.8,174,0,1
73.2,189,0,1
73.1,19,0,1
72.9,189,0,1
72.6,192,0,1
76.9,69,0,1
76.8,7,0,1
76.7,7,0,1
76.5,71,0,1
76.1,76,0,1
76.1,73,0,1
76,74,0,1
75.8,76,0,1
75.6,77,0,1
75.5,79,0,1
75.3,81,0,1
75.2,83,0,1
75,85,0,1
74.9,87,0,1
74.7,9,0,1
74.5,92,0,1
71.8,129,92,1
71.4,132,98,1
71,135,104,1
77,137,111,1
73,14,118,1
69.9,142,126,1
69.5,144,135,1
69.1,147,144,1
68.6,151,154,1
68.2,152,164,1
67.8,155,174,1
67.3,158,185,1
66.8,161,196,1
66.3,164,207,1
65.8,168,219,1
65.3,173,231,1
75.5,98,0,1
75.4,1,0,1
75.2,11,0,1
75.1,12,0,1
74.9,14,0,1
74.7,16,0,1
74.6,19,0,1
74.4,111,0,1
74.2,113,0,1
74.1,115,0,1
73.9,117,0,1
73.8,119,0,1
73.7,121,0,1
73.5,123,0,1
73.4,125,0,1
73.3,127,0,1
72.3,196,0,1
72,199,0,1
71.7,23,0,1
71.9,194,0,1
72,232,0,1
73,222,0,1
70,226,0,1
70,224,1,1
69.8,226,1,1
68.9,243,1,1
68.1,252,1,1
68.2,247,1,1
67.7,253,1,1
67.2,262,1,1
67.7,254,1,1
68,247,1,1
71,175,0,1
70,177,0,1
69.8,18,0,1
69.4,189,0,1
69.4,188,0,1
69.5,186,0,1
69.5,184,0,1
69.6,181,0,1
69.6,181,0,1
69.4,184,0,1
69,191,0,1
68.7,197,0,1
68.4,21,0,1
68.5,199,0,1
68.2,21,0,1
68.3,196,0,1
60,249,25,1
59.7,252,25,1
59.5,251,25,1
59.3,251,25,1
59.1,251,25,1
58.7,254,25,1
58.4,259,25,1
57.6,278,25,1
57.1,283,25,1
56.8,284,25,1
56.5,285,25,1
56.1,285,25,1
55.8,285,25,1
55.6,283,25,1
55.5,281,25,1
55.4,279,25,1
69.8,211,0,1
69.4,216,0,1
69.1,219,0,1
68.7,223,0,1
68.3,225,0,1
67.9,228,1,1
67.4,232,1,1
67,234,1,1
66.5,238,1,1
65.8,245,1,1
65,254,1,1
64.2,263,1,1
63.3,273,1,1
62.5,282,1,1
61.7,29,1,1
62,312,1,1
77,186,8,1
74,189,8,1
71,192,8,1
69.8,194,8,1
69.3,198,9,1
68.7,22,9,1
68,27,10,1
67.4,211,10,1
66.8,216,11,1
66.2,219,11,1
65.7,222,12,1
65.1,226,12,1
64.5,23,13,1
63.9,234,14,1
63.3,238,14,1
62.6,243,15,1
77.4,88,0,1
77.2,89,0,1
77,9,0,1
76.8,92,0,1
76.9,92,0,1
76.4,94,0,1
76.1,97,0,1
76,98,0,1
75.4,16,0,1
75.7,1,0,1
75,12,0,1
75.5,99,0,1
75.2,12,0,1
75.4,11,0,1
